"name","state","adm_rate","satv25","satv50","satv75","satm25","satm50","satm75","pell_grant_rate","fed_loan_rate","ug","ug_men","ug_women","ug_white","ug_black","ug_hispanic","ug_asian","ug_25plus","first_gen","tuition","math_deg","faculty_salary","engi_deg","bio_deg","sci_deg","human_deg","psych_deg","engl_deg","edu_deg","foreign_lang_deg","law_deg","comm_deg","compsci_deg","arch_deg","agri_deg","hist_deg","socialsci_deg","health_deg","business_deg","ft_faculty_rate","endowment","booksupply","roomboard"
"Delta State University","MS",0.94,470,545,620,510,570,630,0.3405,0.4033,2200,0.4419,0.5581,0.5845,0.3074,0.0241,0.0063,0.1367,0.3227158424,5941,0.0034,6500,0,0.0721,0.0067,0.0503,0.0604,0.0168,0.2013,0,0,0,0,0,0,0.0084,0.0134,0.1594,0.1376,0.6107,36810000,1500,7908
"Ohio Valley University","WV",0.69,450,530,610,440,515,590,0.3347,0.5073,300,0.5536,0.4464,0.6071,0.05,0.0357,0.0036,0.102,0.3253012048,18320,0.0256,4600,0,0.0513,0,0.2179,0.0513,0.0256,0.0769,0,0,0,0.0128,0,0,0,0,0.0256,0.2821,0.2167,4583080,1000,7980
"University of Missouri-Kansas City","MO",0.61,500,575,650,480,580,680,0.2523,0.3296,7400,0.4284,0.5716,0.5589,0.1173,0.0998,0.0904,0.1331,0.3370424597,23103,0.0055,9000,0.0736,0.0874,0.0576,0.0719,0.0498,0.0255,0.0232,0.0083,0,0,0.0476,0.0039,0,0.0216,0.0498,0.1433,0.1771,0.6113,152799604,862,11796
"Walsh University","OH",0.76,460,530,600,495,553,610,0.2975,0.6596,1800,0.4189,0.5811,0.5411,0.0656,0.0365,0.008,0.1064,0.3418259023,30645,0.0045,6100,0,0.1205,0.0156,0,0.0714,0.0112,0.1384,0.0045,0.0022,0,0.0223,0,0,0.0022,0.0513,0.1763,0.2701,0.9932,28386534,1128,10900
"University of Pittsburgh-Greensburg","PA",0.84,510,555,600,500,545,590,0.368,0.6737,1400,0.4453,0.5547,0.7728,0.0585,0.0655,0.0355,0.064,0.2096720027,24826,0.0423,7300,0,0.1577,0.0154,0.0077,0.1115,0.1115,0.0808,0.0154,0,0,0.05,0,0,0.0346,0.0231,0,0.1769,0.8125,5742560,826,10870
"Kent State University at Kent","OH",0.86,530,575,620,510,560,610,0.3,0.5786,21400,0.3818,0.6182,0.753,0.0904,0.0391,0.0181,0.097,0.3594029851,17958,0.0061,9400,0.0101,0.0435,0.0122,0.0273,0.0586,0.0125,0.0924,0.0059,0.0064,0,0.0398,0.0164,0,0.0066,0.026,0.1471,0.2326,0.556,148404274,1200,11706
"William Carey University","MS",0.55,490,530,570,460,535,610,0.4112,0.4617,2100,0.3354,0.6646,0.6282,0.2618,0.0218,0.0087,0.229,0.3590163934,10720,0.009,6500,0,0.0901,0.0054,0.1027,0.0919,0.018,0.164,0,0,0,0,0,0,0.0054,0.0018,0.2559,0.1081,0.5618,21123451,1200,6272
"University of Northern Colorado","CO",0.91,490,550,610,480,535,590,0.2897,0.443,8400,0.3339,0.6661,0.6275,0.0437,0.2354,0.0211,0.1078,0.35173132,20445,0.0177,7700,0.0142,0.0359,0.0308,0,0.0592,0.0167,0.1345,0.0101,0,0,0,0,0,0.0202,0.0637,0.18,0.1006,0.5871,90316032,1200,11204
"Alabama State University","AL",0.97,450,480,510,430,470,510,0.7627,0.8232,3800,0.3691,0.6309,0.0163,0.9275,0.0099,0.0037,0.0691,0.3434343434,17576,0.0157,7200,0.002,0.0745,0.0196,0,0.0706,0.0157,0.0961,0,0,0,0.0686,0,0,0.0059,0.0157,0.1431,0.1098,0.6501,94536751,1600,6050
"Mercer University","GA",0.74,590,630,670,580,625,670,0.334,0.5735,4800,0.3704,0.6296,0.4675,0.2846,0.0655,0.0793,0.237,0.2819956616,38298,0.0054,8700,0.1182,0.1065,0.0233,0.0206,0.0546,0.0125,0.077,0.0116,0.0045,0,0.0251,0,0,0.0107,0.0582,0.171,0.1638,0.9622,376609510,1200,12036
"Livingstone College","NC",0.5,380,420,460,380,425,470,0.8433,0.9063,1100,0.5072,0.4928,0.0296,0.8968,0,0.0018,0.0624,0.3921800948,16536,0.0068,5400,0,0.1081,0,0.1081,0.027,0.027,0,0,0,0,0.0676,0,0,0.0068,0.0203,0,0.2365,0.825,4968451,1300,6794
"Point University","GA",0.29,450,505,560,430,490,550,0.2728,0.3544,1100,0.4758,0.5242,0.4655,0.3305,0.0391,0.0037,0.138,0.3634259259,17505,0,6000,0,0.0457,0,0.0102,0.1675,0.0152,0.0508,0,0,0,0.0051,0,0,0.0051,0.0051,0,0.2893,0.1588,4547626,2500,8500
