"name","state","adm_rate","satv25","satv50","satv75","satm25","satm50","satm75","pell_grant_rate","fed_loan_rate","ug","ug_men","ug_women","ug_white","ug_black","ug_hispanic","ug_asian","ug_25plus","first_gen","tuition","math_deg","faculty_salary","engi_deg","bio_deg","sci_deg","human_deg","psych_deg","engl_deg","edu_deg","foreign_lang_deg","law_deg","comm_deg","compsci_deg","arch_deg","agri_deg","hist_deg","socialsci_deg","health_deg","business_deg","ft_faculty_rate","endowment","booksupply","roomboard"
"Southern Utah University","UT",0.78,510,570,630,510,560,610,0.3092,0.4606,7500,0.4473,0.5527,0.743,0.0223,0.0767,0.0141,0.2292,0.3208985158,19436,0.0021,7200,0.006,0.0333,0.0085,0.5053,0.0264,0.0166,0.0431,0.003,0.0017,0,0.0098,0,0.0107,0.0068,0.0239,0.0333,0.0631,0.7198,29935393,1600,7349
"Yale University","CT",0.06,720,745,770,740,770,800,0.1784,0.08,6100,0.4919,0.5081,0.404,0.076,0.1412,0.2005,0.0051,0.25,57480,0.0616,19800,0.0722,0.1189,0.0403,0.0092,0.0453,0.0304,0,0.0234,0,0,0.0701,0.0127,0,0.0743,0.2371,0,0,0.717,30295003000,1050,16600
"Carthage College","WI",0.68,500,555,610,500,555,610,0.2761,0.8444,2600,0.4233,0.5767,0.6819,0.0545,0.1407,0.0214,0.0368,0.2623839009,43370,0.0248,8400,0,0.0908,0.033,0.0017,0.0611,0.0413,0.0545,0.0165,0,0,0.0314,0,0,0.0149,0.0644,0.0363,0.2261,0.551,111495804,1200,12400
"Midwestern State University","TX",0.79,470,520,570,460,505,550,0.4039,0.4775,5200,0.3787,0.6213,0.4631,0.1466,0.2052,0.0273,0.2417,0.381792183,10441,0.0042,8000,0.0216,0.0525,0.0241,8e-04,0.0391,0.0125,0.0142,0.0017,0,0,0.0158,0,0,0.0117,0.0208,0.3764,0.1757,0.7639,25474020,1050,9310
"Mount Saint Joseph University","OH",0.62,510,545,580,490,530,570,0.3008,0.5877,1100,0.4211,0.5789,0.8018,0.1105,0.0289,0.0061,0.091,0.3781388479,30910,0.0185,6800,0,0.059,0.0074,0.0258,0.0295,0.0074,0.0812,0,0.0074,0,0.0111,0,0,0.0185,0.0664,0.2841,0.1697,0.9817,59653614,1200,9830
"University of South Carolina Beaufort","SC",0.63,470,520,570,460,495,530,0.413,0.6144,2000,0.3177,0.6823,0.6001,0.2196,0.0847,0.0105,0.1392,0.3095843936,19776,0.0085,7200,0,0.1183,0,0.0282,0.0958,0.0113,0.0592,0.0028,0,0,0,0,0,0.0282,0.1324,0.1211,0.3014,0.5657,8491167,1260,8350
"University of Tulsa","OK",0.36,550,610,670,540,615,690,0.2031,0.2907,3200,0.5368,0.4632,0.5449,0.0696,0.0857,0.0594,0.045,0.2284946237,42293,0.0408,10200,0.2569,0.0632,0.0264,0.0013,0.0422,0.0198,0.0092,0.0053,0,0,0.0672,0,0,0.0119,0.0422,0.0435,0.2029,0.7701,1129458000,1200,11424
"Santa Clara University","CA",0.49,630,665,700,650,695,740,0.1114,0.2701,5700,0.4998,0.5002,0.472,0.0307,0.1801,0.1753,0.0095,0.1650589496,53514,0.0123,12900,0.1525,0.0598,0.0115,0.0038,0.0582,0.0138,0,0.0069,0,0,0.0046,0,0,0.0046,0.1502,0.0215,0.2774,0.6375,1019760000,1971,15507
"Bloomfield College","NJ",0.71,420,490,560,400,475,550,0.722,0.9248,1600,0.3866,0.6134,0.0895,0.4792,0.325,0.0199,0.1303,0.5084210526,30260,0.0138,8800,0,0.0517,0.0172,0,0.1966,0.0345,0.0345,0,0,0,0.0276,0,0,0.0069,0.1276,0.1552,0.1621,1,14255359,1339,12300
"Mount Saint Mary College","NY",0.94,490,535,580,480,530,580,0.3282,0.8424,1900,0.2743,0.7257,0.5701,0.0759,0.177,0.0209,0.168,0.3715139442,30192,0.0217,8900,0,0.0195,0.0022,0,0.1258,0.0369,0,0,0,0,0.0239,0,0,0.0564,0.0499,0.3601,0.1887,0.3591,5997757,1300,15864
"Cairn University-Langhorne","PA",0.83,510,575,640,490,549,607,0.413,0.6818,800,0.4477,0.5523,0.7043,0.0891,0.0368,0.0321,0.0763,0.295890411,25888,0,6300,0,0,0,0.0387,0.0968,0.0452,0.0968,0,0,0,0,0,0,0.0452,0,0,0.2129,0.3077,11207000,1060,10706
"University of Cincinnati-Main Campus","OH",0.77,560,610,660,560,625,690,0.2165,0.4509,26600,0.5055,0.4945,0.7476,0.0655,0.0345,0.044,0.1064,0.3097519247,25604,0.0055,10200,0.1227,0.0516,0.01,0.0034,0.0357,0.0105,0.0521,0.0129,0.0074,0,0.0447,0.0146,0.0028,0.0046,0.0315,0.1909,0.1726,0.5476,1449732241,1200,11668
"Southern Oregon University","OR",0.78,490,555,620,490,535,580,0.2935,0.663,3800,0.3969,0.6031,0.5936,0.0227,0.1275,0.0209,0.1846,0.4037692747,25014,0.0157,9200,0,0.0236,0.0191,0,0.101,0.0438,0.0932,0.0079,0,0,0.0247,0,0,0.0258,0.0696,0,0.1481,0.5203,33824952,999,14589
"Loyola Marymount University","CA",0.44,620,660,700,610,660,710,0.1701,0.3646,6600,0.4518,0.5482,0.4301,0.0676,0.2267,0.0969,0.0266,0.2240373396,49903,0.0082,12100,0.0481,0.0418,0.007,0.0127,0.081,0.0405,0,0.0051,0,0.0171,0.0203,0,0,0.0082,0.1487,0,0.2652,0.5546,476198000,1971,14075
"Concordia University-Portland","OR",0.57,500,540,580,500,540,580,0.3498,0.6309,1600,0.2487,0.7513,0.5965,0.0409,0.11,0.0799,0.3199,0.3781763827,29110,0,6300,0,0.0269,0.0027,0.0027,0.0618,0.0161,0.1452,0,0,0,0,0,0,0.0054,0,0.4086,0.1398,0.2897,8759898,900,9630
"Asbury University","KY",0.64,540,605,670,510,585,660,0.32,0.6105,1600,0.404,0.596,0.7689,0.0505,0.0676,0.0145,0.2332,0.2362318841,28742,0.0069,6600,0.0034,0.0138,0,0.0138,0.0414,0.0483,0.1655,0.0172,0,0,0,0,0.0517,0.0241,0.0138,0,0.2,0.4796,54987082,1330,7536
"Alderson Broaddus University","WV",0.47,430,480,530,430,480,530,0.5203,0.823,800,0.5688,0.4312,0.5554,0.3009,0.0743,0.0037,0.0598,0.3605442177,27350,0.012,5600,0,0.1084,0.006,0.0181,0.0663,0,0.0783,0,0.006,0,0.0241,0,0,0.006,0.012,0.1867,0.2349,0.7089,17367369,1200,9400
"Williams College","MA",0.13,700,730,760,710,750,790,0.21,0.219,2000,0.503,0.497,0.4896,0.0695,0.1341,0.1238,0.0124,0.215496368,59250,0.0489,13300,0,0.1018,0.092,0,0.0568,0.0802,0,0.0568,0,0,0.0724,0,0,0.0665,0.2896,0,0,0.8495,2744103362,800,14990
"East Stroudsburg University of Pennsylvania","PA",0.85,460,510,560,450,495,540,0.4137,0.6761,5300,0.4379,0.5621,0.5627,0.202,0.1349,0.019,0.0931,0.3954457986,23692,0.0134,9700,0,0.0718,0.0126,0,0.0726,0.0221,0.0931,0.0071,0,0.026,0.0395,0,0,0.0126,0.0363,0.1389,0.1507,0.7619,19924542,1364,11760
"CUNY Bernard M Baruch College","NY",0.43,570,610,650,600,650,700,0.4774,0.0964,15100,0.5346,0.4654,0.1987,0.0866,0.2558,0.3361,0.2117,0.5107763615,13972,0.0196,11700,0,0.008,0,0.0082,0.0313,0.0077,0,8e-04,0,0,0.0657,0,0,0.0034,0.039,0,0.7691,0.4463,201316233,1364,18953
"Messiah University","PA",0.76,560,610,660,530,590,650,0.2074,0.6547,2600,0.3951,0.6049,0.8061,0.0295,0.0562,0.0248,0.0185,0.18173258,34470,0.0066,8500,0.082,0.0475,0.0115,0,0.0426,0.0197,0.1377,0.0049,0,0.0033,0.0311,0,0,0.0115,0.0344,0.141,0.1311,0.5646,137947425,1280,10580
"SUNY Cortland","NY",0.46,540,575,610,550,585,620,0.3287,0.6634,6300,0.4356,0.5644,0.7214,0.0632,0.1337,0.0124,0.0315,0.2709096968,16846,0.0093,6800,0,0.0471,0.0126,0.0232,0.0431,0.0153,0.2462,0.004,0,0,0,0,0,0.0192,0.0883,0.1035,0.075,0.5535,42167052,1000,13100
